date,team,opponent,gd,gf,competition,is_friendly,event_id
2025-06-15,Angola,South Africa,3,3,"COSAFA Cup, Knockout stage",0,14008248
2025-06-15,South Africa,Angola,-3,0,"COSAFA Cup, Knockout stage",0,14008248
2025-08-08,Algeria,South Africa,0,1,"African Nations Championship, Group C",0,14085014
2025-08-08,South Africa,Algeria,0,1,"African Nations Championship, Group C",0,14085014
2025-09-09,South Africa,Nigeria,0,1,"FIFA World Cup, Qualification CAF, Group C",0,12183453
2025-09-09,Nigeria,South Africa,0,1,"FIFA World Cup, Qualification CAF, Group C",0,12183453
2025-12-22,South Africa,Angola,1,2,"Africa Cup of Nations, Group B",0,13424936
2025-12-22,Angola,South Africa,-1,1,"Africa Cup of Nations, Group B",0,13424936
2025-12-26,Egypt,South Africa,1,1,"Africa Cup of Nations, Group B",0,13424947
2025-12-26,South Africa,Egypt,-1,0,"Africa Cup of Nations, Group B",0,13424947
2026-01-04,South Africa,Cameroon,-1,1,"Africa Cup of Nations, Knockout stage",0,14058092
2026-01-04,Cameroon,South Africa,1,2,"Africa Cup of Nations, Knockout stage",0,14058092
2026-03-27,South Africa,Panama,0,1,Int. Friendly Games,1,15776615
2026-03-27,Panama,South Africa,0,1,Int. Friendly Games,1,15776615
2026-03-31,South Africa,Panama,-1,1,Int. Friendly Games,1,15776619
2026-03-31,Panama,South Africa,1,2,Int. Friendly Games,1,15776619
2026-06-11,Mexico,South Africa,2,2,"FIFA World Cup, Group A",0,15186710
2026-06-11,South Africa,Mexico,-2,0,"FIFA World Cup, Group A",0,15186710
2026-06-18,Czech Republic,South Africa,0,1,"FIFA World Cup, Group A",0,15186731
2026-06-18,South Africa,Czech Republic,0,1,"FIFA World Cup, Group A",0,15186731
2026-06-25,South Africa,South Korea,1,1,"FIFA World Cup, Group A",0,15186744
2026-06-25,South Korea,South Africa,-1,0,"FIFA World Cup, Group A",0,15186744
2026-06-28,South Africa,Canada,-1,0,"FIFA World Cup, Knockout",0,12813000
2026-06-28,Canada,South Africa,1,1,"FIFA World Cup, Knockout",0,12813000
2023-09-12,South Africa,DR Congo,1,1,Int. Friendly Games,1,11590356
2023-09-12,DR Congo,South Africa,-1,0,Int. Friendly Games,1,11590356
2023-10-17,Ivory Coast,South Africa,0,1,Int. Friendly Games,1,11744121
2023-10-17,South Africa,Ivory Coast,0,1,Int. Friendly Games,1,11744121
2024-01-24,South Africa,Tunisia,0,0,"Africa Cup of Nations, Group E",0,11761903
2024-01-24,Tunisia,South Africa,0,0,"Africa Cup of Nations, Group E",0,11761903
2024-01-30,Morocco,South Africa,-2,0,"Africa Cup of Nations, Knockout stage",0,11940726
2024-01-30,South Africa,Morocco,2,2,"Africa Cup of Nations, Knockout stage",0,11940726
2024-02-03,Cape Verde,South Africa,-1,1,"Africa Cup of Nations, Knockout stage",0,11940748
2024-02-03,South Africa,Cape Verde,1,2,"Africa Cup of Nations, Knockout stage",0,11940748
2024-02-07,Nigeria,South Africa,2,5,"Africa Cup of Nations, Knockout stage",0,11940771
2024-02-07,South Africa,Nigeria,-2,3,"Africa Cup of Nations, Knockout stage",0,11940771
2024-02-10,South Africa,DR Congo,1,6,"Africa Cup of Nations, Knockout stage",0,11940773
2024-02-10,DR Congo,South Africa,-1,5,"Africa Cup of Nations, Knockout stage",0,11940773
2024-03-26,Algeria,South Africa,0,3,Int. Friendly Games,1,12162754
2024-03-26,South Africa,Algeria,0,3,Int. Friendly Games,1,12162754
2024-06-07,Nigeria,South Africa,0,1,"FIFA World Cup, Qualification CAF, Group C",0,12183455
2024-06-07,South Africa,Nigeria,0,1,"FIFA World Cup, Qualification CAF, Group C",0,12183455
2025-03-09,Egypt,South Africa,-2,1,Int. Friendly Games,1,13581479
2025-03-09,South Africa,Egypt,2,3,Int. Friendly Games,1,13581479
2021-07-18,Senegal,South Africa,-1,4,"COSAFA Cup, Knockout stage",0,9648924
2021-07-18,South Africa,Senegal,1,5,"COSAFA Cup, Knockout stage",0,9648924
2021-09-06,South Africa,Ghana,1,1,"World Cup Qualification, CAF, Group G",0,9724711
2021-09-06,Ghana,South Africa,-1,0,"World Cup Qualification, CAF, Group G",0,9724711
2021-11-14,Ghana,South Africa,1,1,"World Cup Qualification, CAF, Group G",0,9724791
2021-11-14,South Africa,Ghana,-1,0,"World Cup Qualification, CAF, Group G",0,9724791
2022-03-29,France,South Africa,5,5,Int. Friendly Games,1,10132693
2022-03-29,South Africa,France,-5,0,Int. Friendly Games,1,10132693
2022-06-09,Morocco,South Africa,1,2,"Africa Cup of Nations, Qualification, Group K",0,10338559
2022-06-09,South Africa,Morocco,-1,1,"Africa Cup of Nations, Qualification, Group K",0,10338559
2022-08-28,Angola,South Africa,2,2,"African Nations Championship, Qualification",0,10644841
2022-08-28,South Africa,Angola,-2,0,"African Nations Championship, Qualification",0,10644841
2022-09-04,South Africa,Angola,-3,1,"African Nations Championship, Qualification",0,10661276
2022-09-04,Angola,South Africa,3,4,"African Nations Championship, Qualification",0,10661276
2022-11-20,South Africa,Angola,0,1,Int. Friendly Games,1,10893218
2022-11-20,Angola,South Africa,0,1,Int. Friendly Games,1,10893218
2023-06-17,South Africa,Morocco,1,2,"Africa Cup of Nations, Qualification, Group K",0,10339201
2023-06-17,Morocco,South Africa,-1,1,"Africa Cup of Nations, Qualification, Group K",0,10339201
2018-11-17,South Africa,Nigeria,0,1,"Africa Cup of Nations, Qualification, Group E",0,7447039
2018-11-17,Nigeria,South Africa,0,1,"Africa Cup of Nations, Qualification, Group E",0,7447039
2018-11-20,South Africa,Paraguay,0,1,Int. Friendly Games,1,8061786
2018-11-20,Paraguay,South Africa,0,1,Int. Friendly Games,1,8061786
2019-06-15,South Africa,Ghana,0,0,Int. Friendly Games,1,8240643
2019-06-15,Ghana,South Africa,0,0,Int. Friendly Games,1,8240643
2019-06-24,Ivory Coast,South Africa,1,1,"Africa Cup of Nations, Group D",0,8192963
2019-06-24,South Africa,Ivory Coast,-1,0,"Africa Cup of Nations, Group D",0,8192963
2019-07-01,South Africa,Morocco,-1,0,"Africa Cup of Nations, Group D",0,8192966
2019-07-01,Morocco,South Africa,1,1,"Africa Cup of Nations, Group D",0,8192966
